product_id,product_name,brand,category,skin_type_suitability,ingredients
P001,Gentle Hydrating Cleanser,Cetaphil,Cleanser,"Normal, Dry, Sensitive","Water, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid"
P002,Oil-Control Cleanser,Clean & Clear,Cleanser,"Oily, Combination, Acne-Prone","Salicylic Acid, Water, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, PEG-120 Methyl Glucose Dioleate, Sodium Chloride, Fragrance"
P003,Refreshing Toner,Neutrogena,Toner,"Oily, Combination","Water, Alcohol Denat., Butylene Glycol, Polysorbate 20, Sodium PCA, Fragrance, Allantoin"
P004,Hydrating Rosewater Toner,Mario Badescu,Toner,"All, Dry, Sensitive","Water, Aloe Barbadensis Leaf Juice, Propylene Glycol, Rosa Canina Extract, Thymus Vulgaris (Thyme) Extract, Fucus Vesiculosus Extract, Parfum (Fragrance), CI 17200 (Red 33), CI 42090 (Blue 1)"
P005,Vitamin C Brightening Serum,The Ordinary,Serum,"All, Normal, Combination, Oily","Ascorbic Acid, Propanediol, Triethanolamine, Squalane, Ethoxydiglycol, Ferulic Acid, Tocopherol"
P006,Hyaluronic Acid 2% + B5,The Ordinary,Serum,"All, Dry, Oily, Combination, Normal, Sensitive","Water, Sodium Hyaluronate, Pentylene Glycol, Propanediol, Sodium Hyaluronate Crosspolymer, Panthenol, Ahnfeltia Concinna Extract, Glycerin, Trisodium Ethylenediamine Disuccinate, Citric Acid, Isoceteth-20, Ethoxydiglycol, Ethylhexylglycerin, Hexylene Glycol, 1,2-Hexanediol, Phenoxyethanol, Caprylyl Glycol"
P007,Daily Moisturizing Lotion,Aveeno,Moisturizer,"Normal, Dry, Sensitive","Water, Glycerin, Distearyldimonium Chloride, Petrolatum, Isopropyl Palmitate, Cetyl Alcohol, Dimethicone, Avena Sativa (Oat) Kernel Flour, Benzyl Alcohol, Sodium Chloride"
P008,Oil-Free Gel Moisturizer,Simple,Moisturizer,"Oily, Combination, Sensitive","Water, Propanediol, Glycerin, Niacinamide, Panthenol, Tocopheryl Acetate, Saccharide Isomerate, Sodium Hyaluronate, Zinc PCA, Aloe Barbadensis Leaf Juice Powder, Citric Acid, Sodium Hydroxide, Carbomer, Disodium EDTA, Phenoxyethanol"
P009,Anthelios Clear Skin Sunscreen SPF 60,La Roche-Posay,Sunscreen,"Oily, Acne-Prone, Combination","Avobenzone 3%, Homosalate 10.72%, Octisalate 3.21%, Octocrylene 6%, Oxybenzone 3.86%, Water, Silica, Dicaprylyl Carbonate, Styrene/Acrylates Copolymer, Butyloctyl Salicylate, Methyl Methacrylate Crosspolymer, Nylon-12, PEG-100 Stearate, Glyceryl Stearate, Perlite, Beeswax, Ammonium Polyacryloyldimethyl Taurate, Phenoxyethanol, Sodium Stearoyl Glutamate, Caprylyl Glycol, P-Anisic Acid, Tocopherol, Dimethicone, Disodium EDTA, Fragrance"
P010,Mineral Sunscreen SPF 50,CeraVe,Sunscreen,"Sensitive, All","Titanium Dioxide, Zinc Oxide, Water, Glycerin, C12-15 Alkyl Benzoate, Isohexadecane, Isononyl Isononanoate, Dicaprylyl Ether, PEG-30 Dipolyhydroxystearate, Triethylhexanoin, Polyglyceryl-4 Isostearate, Dicaprylyl Carbonate, Dimethicone, Niacinamide, Cetyl Alcohol, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Hyaluronic Acid"
P011,Retinol 0.5% in Squalane,The Ordinary,Serum,"Oily, Combination, Normal","Squalane, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Retinol, Solanum Lycopersicum (Tomato) Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Hydroxymethoxyphenyl Decanone, BHT"
P012,Soothing Oat Cleanser,Good Molecules,Cleanser,"Sensitive, Dry","Water, Avena Sativa (Oat) Kernel Meal, Glycerin, Propanediol, Pentylene Glycol, Xanthan Gum, Caprylyl Glycol, Sodium Phytate, Ethylhexylglycerin, Citric Acid"
P013,Glycolic Acid 7% Toning Solution,The Ordinary,Toner,"Oily, Normal, Combination","Aqua (Water), Glycolic Acid, Rosa Damascena Flower Water, Centaurea Cyanus Flower Water, Aloe Barbadensis Leaf Water, Propanediol, Glycerin, Triethanolamine, Aminomethyl Propanol, Panax Ginseng Root Extract, Tasmannia Lanceolata Fruit/Leaf Extract, Aspartic Acid, Alanine, Glycine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glutamic Acid, Arginine, PCA, Sodium PCA, Sodium Lactate, Fructose, Glucose, Sucrose, Urea, Hexyl Nicotinate, Dextrin, Citric Acid, Polysorbate 20, Gellan Gum, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Hexylene Glycol, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol."
P014,Ultra-Light Moisturizing Gel,Paula's Choice,Moisturizer,"Oily, Combination","Water, Glycerin, Niacinamide, Sodium Hyaluronate, Panthenol, Allantoin, Glycyrrhiza Glabra (Licorice) Root Extract, Camellia Sinensis (Green Tea) Leaf Extract, Epilobium Angustifolium (Willowherb) Flower/Leaf/Stem Extract, Xanthan Gum, Polysorbate 20, Phenoxyethanol"
P015,Sensitive Skin Mineral Sunscreen SPF 30,Blue Lizard,Sunscreen,"Sensitive, Dry, Normal","Titanium Dioxide, Zinc Oxide, Water, Caprylic/Capric Triglyceride, Ethylhexyl Palmitate, Polyglyceryl-4 Isostearate, Cetyl PEG/PPG-10/1 Dimethicone, Hexyl Laurate, Glycerin, Hydrogenated Castor Oil, Magnesium Sulfate, Tocopheryl Acetate, Phenoxyethanol, Ethylhexylglycerin"
